Luca, mangia, una mela
Carla, dipinge, un quadro 
Luigi, suona, la chitarra 
Maria, gioca,a calcio
La tigre, osserva, il paesaggio 
Giovanni, ascolta, la maestra
Gli studenti,eseguono, i compiti 
Stefano, cucina, la pasta
L’orso, aspetta, i suoi cuccioli 
Il maestro, spiega, un esercizio 
Miriam, racconta, una storia 
La neve, ha imbiancato, il paesaggio 
Sandra, scrive, una lettera 
Il parlamento, detiene, il potere legislativo 
Mirco, ordina,la stanza
L’archeologo, studia, i fossili
La tecnologia, utilizza, gli algoritmi
Gli scienziati, studiano, i fenomeni atmosferici 
Il gatto, insegue, il topo 
Lo studente, scrive, in tema 
L’artista, crea, una scultura 
L’ingegnere, progetta, un ponte 
Giacomo, suona, il pianoforte 
Il fotografo, scatta, una foto 
Luigi, adotta, un gatto 
Il giardiniere, pianta, un albero 
L’architetto, progetta, una casa 
La lettura, arricchisce, il linguaggio 
La musica, emoziona, le persone
Il sorriso, migliora, la giornata 
La creatività, stimola, nuove invenzioni
Marco, compra, una macchina 
Maria, legge, un libro 
Il direttore, firma, un documento 
L’attrice, interpreta, un personaggio 
Il regista, riprende, il film 
